ID,Label,Class Type,Parent,In Taxon
MRO:patr-drb-locus,Patr-DRB locus,subclass,chimpanzee MHC class II locus,
MRO:rt1-a-locus,RT1-A locus,subclass,rat MHC class I locus,
MRO:rt1-a1-locus,RT1-A1 locus,subclass,RT1-A locus,
MRO:rt1-a2-locus,RT1-A2 locus,subclass,RT1-A locus,
MRO:rt1-b-locus,RT1-B locus,subclass,rat MHC class II locus,
MRO:rt1-d-locus,RT1-D locus,subclass,rat MHC class II locus,
MRO:sla-1-locus,SLA-1 locus,subclass,pig MHC class I locus,
MRO:sla-2-locus,SLA-2 locus,subclass,pig MHC class I locus,
MRO:saoe-g-locus,Saoe-G locus,subclass,cotton-top tamarin MHC class I locus,
MRO:bonobo-mhc-class-i-locus,bonobo MHC class I locus,subclass,MHC class I locus,bonobo
MRO:bonobo-mhc-class-ii-locus,bonobo MHC class II locus,subclass,MHC class II locus,bonobo
MRO:cattle-mhc-class-i-locus,cattle MHC class I locus,subclass,MHC class I locus,cattle
MRO:cattle-mhc-class-ii-locus,cattle MHC class II locus,subclass,MHC class II locus,cattle
MRO:cattle-non-classical-mhc-locus,cattle non-classical MHC locus,subclass,non-classical MHC locus,cattle
MRO:chicken-mhc-class-i-locus,chicken MHC class I locus,subclass,MHC class I locus,chicken
MRO:chicken-mhc-class-ii-locus,chicken MHC class II locus,subclass,MHC class II locus,chicken
MRO:chicken-non-classical-mhc-locus,chicken non-classical MHC locus,subclass,non-classical MHC locus,chicken
MRO:chimpanzee-mhc-class-i-locus,chimpanzee MHC class I locus,subclass,MHC class I locus,chimpanzee
MRO:chimpanzee-mhc-class-ii-locus,chimpanzee MHC class II locus,subclass,MHC class II locus,chimpanzee
MRO:chimpanzee-non-classical-mhc-locus,chimpanzee non-classical MHC locus,subclass,non-classical MHC locus,chimpanzee
MRO:cotton-top-tamarin-mhc-class-i-locus,cotton-top tamarin MHC class I locus,subclass,MHC class I locus,cotton-top tamarin
MRO:cotton-top-tamarin-mhc-class-ii-locus,cotton-top tamarin MHC class II locus,subclass,MHC class II locus,cotton-top tamarin
MRO:dog-mhc-class-i-locus,dog MHC class I locus,subclass,MHC class I locus,dog
MRO:dog-mhc-class-ii-locus,dog MHC class II locus,subclass,MHC class II locus,dog
MRO:gorilla-mhc-class-i-locus,gorilla MHC class I locus,subclass,MHC class I locus,gorilla
MRO:gorilla-mhc-class-ii-locus,gorilla MHC class II locus,subclass,MHC class II locus,gorilla
MRO:horse-mhc-class-i-locus,horse MHC class I locus,subclass,MHC class I locus,horse
MRO:horse-mhc-class-ii-locus,horse MHC class II locus,subclass,MHC class II locus,horse
MRO:human-mhc-class-i-locus,human MHC class I locus,subclass,MHC class I locus,human
MRO:human-mhc-class-ii-locus,human MHC class II locus,subclass,MHC class II locus,human
MRO:human-non-classical-mhc-locus,human non-classical MHC locus,subclass,non-classical MHC locus,human
MRO:marmoset-mhc-class-i-locus,marmoset MHC class I locus,subclass,MHC class I locus,marmoset
MRO:mouse-mhc-class-i-locus,mouse MHC class I locus,subclass,MHC class I locus,mouse
MRO:mouse-mhc-class-ii-locus,mouse MHC class II locus,subclass,MHC class II locus,mouse
MRO:mouse-non-classical-mhc-locus,mouse non-classical MHC locus,subclass,non-classical MHC locus,mouse
MRO:non-classical-mhc-locus,non-classical MHC locus,subclass,MHC locus,
MRO:pig-mhc-class-i-locus,pig MHC class I locus,subclass,MHC class I locus,pig
MRO:pig-mhc-class-ii-locus,pig MHC class II locus,subclass,MHC class II locus,pig
MRO:rat-mhc-class-i-locus,rat MHC class I locus,subclass,MHC class I locus,rat
MRO:rat-mhc-class-ii-locus,rat MHC class II locus,subclass,MHC class II locus,rat
MRO:rhesus-macaque-mhc-class-i-locus,rhesus macaque MHC class I locus,subclass,MHC class I locus,rhesus macaque
MRO:rhesus-macaque-mhc-class-ii-locus,rhesus macaque MHC class II locus,subclass,MHC class II locus,rhesus macaque
MRO:sheep-mhc-class-i-locus,sheep MHC class I locus,subclass,MHC class I locus,sheep
MRO:sheep-mhc-class-ii-locus,sheep MHC class II locus,subclass,MHC class II locus,sheep
