ID,Label,IEDB Label,Synonyms,Class Type,Parent,In Taxon,With Serotype
MRO:hla-protein-complex-with-b40-serotype,HLA protein complex with B40 serotype,HLA-B40,HLA-B*40,equivalent,protein complex,human,HLA-B40 serotype
MRO:hla-protein-complex-with-b41-serotype,HLA protein complex with B41 serotype,HLA-B41,HLA-B*41,equivalent,protein complex,human,HLA-B41 serotype
MRO:hla-protein-complex-with-b42-serotype,HLA protein complex with B42 serotype,HLA-B42,HLA-B*42,equivalent,protein complex,human,HLA-B42 serotype
MRO:hla-protein-complex-with-b44-serotype,HLA protein complex with B44 serotype,HLA-B44,HLA-B*44,equivalent,protein complex,human,HLA-B44 serotype
MRO:hla-protein-complex-with-b45-serotype,HLA protein complex with B45 serotype,HLA-B45,HLA-B*45,equivalent,protein complex,human,HLA-B45 serotype
MRO:hla-protein-complex-with-b46-serotype,HLA protein complex with B46 serotype,HLA-B46,,equivalent,protein complex,human,HLA-B46 serotype
MRO:hla-protein-complex-with-b47-serotype,HLA protein complex with B47 serotype,HLA-B47,HLA-B*47,equivalent,protein complex,human,HLA-B47 serotype
MRO:hla-protein-complex-with-b48-serotype,HLA protein complex with B48 serotype,HLA-B48,,equivalent,protein complex,human,HLA-B48 serotype
MRO:hla-protein-complex-with-b49-serotype,HLA protein complex with B49 serotype,HLA-B49,HLA-B*49,equivalent,protein complex,human,HLA-B49 serotype
MRO:hla-protein-complex-with-b50-serotype,HLA protein complex with B50 serotype,HLA-B50,HLA-B*50,equivalent,protein complex,human,HLA-B50 serotype
MRO:hla-protein-complex-with-b51-serotype,HLA protein complex with B51 serotype,HLA-B51,HLA-B*51|HLA-B51.1,equivalent,protein complex,human,HLA-B51 serotype
MRO:hla-protein-complex-with-b5102-serotype,HLA protein complex with B5102 serotype,HLA-B5102,,equivalent,protein complex,human,HLA-B5102 serotype
MRO:hla-protein-complex-with-b52-serotype,HLA protein complex with B52 serotype,HLA-B52,HLA-B*52,equivalent,protein complex,human,HLA-B52 serotype
MRO:hla-protein-complex-with-b53-serotype,HLA protein complex with B53 serotype,HLA-B53,HLA-B*53,equivalent,protein complex,human,HLA-B53 serotype
MRO:hla-protein-complex-with-b54-serotype,HLA protein complex with B54 serotype,HLA-B54,HLA-B*54,equivalent,protein complex,human,HLA-B54 serotype
MRO:hla-protein-complex-with-b55-serotype,HLA protein complex with B55 serotype,HLA-B55,HLA-B*55,equivalent,protein complex,human,HLA-B55 serotype
MRO:hla-protein-complex-with-b56-serotype,HLA protein complex with B56 serotype,HLA-B56,,equivalent,protein complex,human,HLA-B56 serotype
MRO:hla-protein-complex-with-b57-serotype,HLA protein complex with B57 serotype,HLA-B57,HLA-B*57,equivalent,protein complex,human,HLA-B57 serotype
MRO:hla-protein-complex-with-b58-serotype,HLA protein complex with B58 serotype,HLA-B58,HLA-B*58,equivalent,protein complex,human,HLA-B58 serotype
MRO:hla-protein-complex-with-b60-serotype,HLA protein complex with B60 serotype,HLA-B60,HLA-B*60,equivalent,protein complex,human,HLA-B60 serotype
MRO:hla-protein-complex-with-b61-serotype,HLA protein complex with B61 serotype,HLA-B61,HLA-B*61,equivalent,protein complex,human,HLA-B61 serotype
MRO:hla-protein-complex-with-b62-serotype,HLA protein complex with B62 serotype,HLA-B62,HLA-B*62,equivalent,protein complex,human,HLA-B62 serotype
MRO:hla-protein-complex-with-b63-serotype,HLA protein complex with B63 serotype,HLA-B63,HLA-B*63,equivalent,protein complex,human,HLA-B63 serotype
MRO:hla-protein-complex-with-b65-serotype,HLA protein complex with B65 serotype,HLA-B65,,equivalent,protein complex,human,HLA-B65 serotype
MRO:hla-protein-complex-with-b7-serotype,HLA protein complex with B7 serotype,HLA-B7,HLA-B*07,equivalent,protein complex,human,HLA-B7 serotype
MRO:hla-protein-complex-with-b70-serotype,HLA protein complex with B70 serotype,HLA-B70,,equivalent,protein complex,human,HLA-B70 serotype
MRO:hla-protein-complex-with-b71-serotype,HLA protein complex with B71 serotype,HLA-B71,,equivalent,protein complex,human,HLA-B71 serotype
MRO:hla-protein-complex-with-b73-serotype,HLA protein complex with B73 serotype,HLA-B73,,equivalent,protein complex,human,HLA-B73 serotype
MRO:hla-protein-complex-with-b75-serotype,HLA protein complex with B75 serotype,HLA-B75,,equivalent,protein complex,human,HLA-B75 serotype
MRO:hla-protein-complex-with-b77-serotype,HLA protein complex with B77 serotype,HLA-B77,,equivalent,protein complex,human,HLA-B77 serotype
MRO:hla-protein-complex-with-b8-serotype,HLA protein complex with B8 serotype,HLA-B8,HLA-B*08,equivalent,protein complex,human,HLA-B8 serotype
MRO:hla-protein-complex-with-b81-serotype,HLA protein complex with B81 serotype,HLA-B81,HLA-B*81,equivalent,protein complex,human,HLA-B81 serotype
MRO:hla-protein-complex-with-bw4-serotype,HLA protein complex with Bw4 serotype,HLA-Bw4,HLA-B*w4,equivalent,protein complex,human,HLA-Bw4 serotype
MRO:hla-protein-complex-with-cw1-serotype,HLA protein complex with Cw1 serotype,HLA-Cw1,HLA-Cw*01,equivalent,protein complex,human,HLA-Cw1 serotype
MRO:hla-protein-complex-with-cw10-serotype,HLA protein complex with Cw10 serotype,HLA-Cw10,,equivalent,protein complex,human,HLA-Cw10 serotype
MRO:hla-protein-complex-with-cw12-serotype,HLA protein complex with Cw12 serotype,HLA-Cw12,HLA-Cw*12,equivalent,protein complex,human,HLA-Cw12 serotype
MRO:hla-protein-complex-with-cw15-serotype,HLA protein complex with Cw15 serotype,HLA-Cw15,HLA-Cw*15,equivalent,protein complex,human,HLA-Cw15 serotype
MRO:hla-protein-complex-with-cw16-serotype,HLA protein complex with Cw16 serotype,HLA-Cw16,HLA-Cw*16,equivalent,protein complex,human,HLA-Cw16 serotype
MRO:hla-protein-complex-with-cw2-serotype,HLA protein complex with Cw2 serotype,HLA-Cw2,HLA-Cw*02,equivalent,protein complex,human,HLA-Cw2 serotype
MRO:hla-protein-complex-with-cw3-serotype,HLA protein complex with Cw3 serotype,HLA-Cw3,HLA-Cw*03,equivalent,protein complex,human,HLA-Cw3 serotype
MRO:hla-protein-complex-with-cw4-serotype,HLA protein complex with Cw4 serotype,HLA-Cw4,HLA-Cw*04,equivalent,protein complex,human,HLA-Cw4 serotype
MRO:hla-protein-complex-with-cw5-serotype,HLA protein complex with Cw5 serotype,HLA-Cw5,,equivalent,protein complex,human,HLA-Cw5 serotype
MRO:hla-protein-complex-with-cw6-serotype,HLA protein complex with Cw6 serotype,HLA-Cw6,HLA-Cw*06,equivalent,protein complex,human,HLA-Cw6 serotype
MRO:hla-protein-complex-with-cw7-serotype,HLA protein complex with Cw7 serotype,HLA-Cw7,HLA-Cw*07,equivalent,protein complex,human,HLA-Cw7 serotype
MRO:hla-protein-complex-with-cw8-serotype,HLA protein complex with Cw8 serotype,HLA-Cw8,HLA-Cw*08,equivalent,protein complex,human,HLA-Cw8 serotype
MRO:hla-protein-complex-with-cw9-serotype,HLA protein complex with Cw9 serotype,HLA-Cw9,,equivalent,protein complex,human,HLA-Cw9 serotype
MRO:hla-protein-complex-with-dp1-serotype,HLA protein complex with DP1 serotype,HLA-DP1,,equivalent,protein complex,human,HLA-DP1 serotype
MRO:hla-protein-complex-with-dp4-serotype,HLA protein complex with DP4 serotype,HLA-DP4,,equivalent,protein complex,human,HLA-DP4 serotype
MRO:hla-protein-complex-with-dp5-serotype,HLA protein complex with DP5 serotype,HLA-DP5,,equivalent,protein complex,human,HLA-DP5 serotype
MRO:hla-protein-complex-with-dp9-serotype,HLA protein complex with DP9 serotype,HLA-DP9,,equivalent,protein complex,human,HLA-DP9 serotype
MRO:hla-protein-complex-with-dpw1-serotype,HLA protein complex with DPw1 serotype,HLA-DPw1,,equivalent,protein complex,human,HLA-DPw1 serotype
MRO:hla-protein-complex-with-dpw2-serotype,HLA protein complex with DPw2 serotype,HLA-DPw2,HLA-DP2,equivalent,protein complex,human,HLA-DPw2 serotype
MRO:hla-protein-complex-with-dpw3-serotype,HLA protein complex with DPw3 serotype,HLA-DPw3,HLA-DP3,equivalent,protein complex,human,HLA-DPw3 serotype
MRO:hla-protein-complex-with-dpw4-serotype,HLA protein complex with DPw4 serotype,HLA-DPw4,HLA-DP4,equivalent,protein complex,human,HLA-DPw4 serotype
MRO:hla-protein-complex-with-dpw5-serotype,HLA protein complex with DPw5 serotype,HLA-DPw5,HLA-DP5,equivalent,protein complex,human,HLA-DPw5 serotype
MRO:hla-protein-complex-with-dpw6-serotype,HLA protein complex with DPw6 serotype,HLA-DPw6,,equivalent,protein complex,human,HLA-DPw6 serotype
MRO:hla-protein-complex-with-dq1-serotype,HLA protein complex with DQ1 serotype,HLA-DQ1,HLA-DQw1,equivalent,protein complex,human,HLA-DQ1 serotype
MRO:hla-protein-complex-with-dq2-serotype,HLA protein complex with DQ2 serotype,HLA-DQ2,HLA-DQw2,equivalent,protein complex,human,HLA-DQ2 serotype
MRO:hla-protein-complex-with-dq2.3-serotype,HLA protein complex with DQ2.3 serotype,HLA-DQ2.3,,equivalent,protein complex,human,HLA-DQ2.3 serotype
MRO:hla-protein-complex-with-dq3-serotype,HLA protein complex with DQ3 serotype,HLA-DQ3,HLA-DQw3,equivalent,protein complex,human,HLA-DQ3 serotype
MRO:hla-protein-complex-with-dq3.33-serotype,HLA protein complex with DQ3.33 serotype,HLA-DQ3.33,,equivalent,protein complex,human,HLA-DQ3.33 serotype
MRO:hla-protein-complex-with-dq3t12-serotype,HLA protein complex with DQ3t12 serotype,HLA-DQ3t12,,equivalent,protein complex,human,HLA-DQ3t12 serotype
MRO:hla-protein-complex-with-dq4-serotype,HLA protein complex with DQ4 serotype,HLA-DQ4,,equivalent,protein complex,human,HLA-DQ4 serotype
MRO:hla-protein-complex-with-dq5-serotype,HLA protein complex with DQ5 serotype,HLA-DQ5,HLA-DQw5,equivalent,protein complex,human,HLA-DQ5 serotype
MRO:hla-protein-complex-with-dq6-serotype,HLA protein complex with DQ6 serotype,HLA-DQ6,HLA-DQw6,equivalent,protein complex,human,HLA-DQ6 serotype
MRO:hla-protein-complex-with-dq7-serotype,HLA protein complex with DQ7 serotype,HLA-DQ7,HLA-DQw7,equivalent,protein complex,human,HLA-DQ7 serotype
MRO:hla-protein-complex-with-dq8-serotype,HLA protein complex with DQ8 serotype,HLA-DQ8,HLA-DQw8,equivalent,protein complex,human,HLA-DQ8 serotype
MRO:hla-protein-complex-with-dq9-serotype,HLA protein complex with DQ9 serotype,HLA-DQ9,,equivalent,protein complex,human,HLA-DQ9 serotype
MRO:hla-protein-complex-with-dq9.2-serotype,HLA protein complex with DQ9.2 serotype,HLA-DQ9.2,,equivalent,protein complex,human,HLA-DQ9.2 serotype
MRO:hla-protein-complex-with-dr1-serotype,HLA protein complex with DR1 serotype,HLA-DR1,HLA-DRB1*01|HLA-DRw1,equivalent,protein complex,human,HLA-DR1 serotype
MRO:hla-protein-complex-with-dr10-serotype,HLA protein complex with DR10 serotype,HLA-DR10,HLA-DRw10,equivalent,protein complex,human,HLA-DR10 serotype
MRO:hla-protein-complex-with-dr103-serotype,HLA protein complex with DR103 serotype,HLA-DR103,,equivalent,protein complex,human,HLA-DR103 serotype
MRO:hla-protein-complex-with-dr11-serotype,HLA protein complex with DR11 serotype,HLA-DR11,HLA-DRB1*11|HLA-DRw11,equivalent,protein complex,human,HLA-DR11 serotype
MRO:hla-protein-complex-with-dr12-serotype,HLA protein complex with DR12 serotype,HLA-DR12,HLA-DR12 DwH|HLA-DRw12,equivalent,protein complex,human,HLA-DR12 serotype
MRO:hla-protein-complex-with-dr13-serotype,HLA protein complex with DR13 serotype,HLA-DR13,HLA-DRB1*13|HLA-DRw13,equivalent,protein complex,human,HLA-DR13 serotype
MRO:hla-protein-complex-with-dr14-serotype,HLA protein complex with DR14 serotype,HLA-DR14,,equivalent,protein complex,human,HLA-DR14 serotype
MRO:hla-protein-complex-with-dr1404-serotype,HLA protein complex with DR1404 serotype,HLA-DR1404,,equivalent,protein complex,human,HLA-DR1404 serotype
MRO:hla-protein-complex-with-dr15-serotype,HLA protein complex with DR15 serotype,HLA-DR15,HLA-DRB1*15,equivalent,protein complex,human,HLA-DR15 serotype
MRO:hla-protein-complex-with-dr16-serotype,HLA protein complex with DR16 serotype,HLA-DR16,,equivalent,protein complex,human,HLA-DR16 serotype
MRO:hla-protein-complex-with-dr17-serotype,HLA protein complex with DR17 serotype,HLA-DR17,HLA-DRw17,equivalent,protein complex,human,HLA-DR17 serotype
MRO:hla-protein-complex-with-dr18-serotype,HLA protein complex with DR18 serotype,HLA-DR18,,equivalent,protein complex,human,HLA-DR18 serotype
MRO:hla-protein-complex-with-dr2-serotype,HLA protein complex with DR2 serotype,HLA-DR2,,equivalent,protein complex,human,HLA-DR2 serotype
MRO:hla-protein-complex-with-dr3-serotype,HLA protein complex with DR3 serotype,HLA-DR3,HLA-DRB1*03,equivalent,protein complex,human,HLA-DR3 serotype
MRO:hla-protein-complex-with-dr4-serotype,HLA protein complex with DR4 serotype,HLA-DR4,HLA-DRB1*04,equivalent,protein complex,human,HLA-DR4 serotype
MRO:hla-protein-complex-with-dr5-serotype,HLA protein complex with DR5 serotype,HLA-DR5,,equivalent,protein complex,human,HLA-DR5 serotype
MRO:hla-protein-complex-with-dr51-serotype,HLA protein complex with DR51 serotype,HLA-DR51,,equivalent,protein complex,human,HLA-DR51 serotype
MRO:hla-protein-complex-with-dr52-serotype,HLA protein complex with DR52 serotype,HLA-DR52,HLA-DRB3*52|HLA-DRw52,equivalent,protein complex,human,HLA-DR52 serotype
MRO:hla-protein-complex-with-dr53-serotype,HLA protein complex with DR53 serotype,HLA-DR53,HLA-DRB4*53|HLA-DRw53,equivalent,protein complex,human,HLA-DR53 serotype
MRO:hla-protein-complex-with-dr6-serotype,HLA protein complex with DR6 serotype,HLA-DR6,HLA-DRw6,equivalent,protein complex,human,HLA-DR6 serotype
MRO:hla-protein-complex-with-dr7-serotype,HLA protein complex with DR7 serotype,HLA-DR7,HLA-DR7 Dw11|HLA-DRB1*07,equivalent,protein complex,human,HLA-DR7 serotype
